image_url,price,artist,title,date
https://d32dm0rphc51dk.cloudfront.net/Ry0NyUpaSWVL9w2ei89MZw/larger.jpg,"US$3,950",Peter Kuttner,Beyond the Cerulean Skies,2024
https://d32dm0rphc51dk.cloudfront.net/c0Iec9mu1EKyZA2kLza06g/larger.jpg,"US$5,000",Johannes Ehemann,Le Grand Picnic,2024
https://d32dm0rphc51dk.cloudfront.net/srMe5EUI4Gxe_JLXWSdOSQ/larger.jpg,"US$8,000",Gary Baseman,The Dawn of the Tree Nymph,2009
https://d32dm0rphc51dk.cloudfront.net/rBY6_MNHbHWyi7EX3CoNXw/larger.jpg,"US$4,000",Victor Rodriguez,Head Study #5,2020
https://d32dm0rphc51dk.cloudfront.net/-KYp7qePtRkx97UFv_oeuA/larger.jpg,"US$13,850",Francois Fressinier,Metropolis 2024,2023
https://d32dm0rphc51dk.cloudfront.net/1cN38QgbodBsCXZrpNHd5g/larger.jpg,US$125,"R.W. ""Rudy"" Beerens",B.B,2020
https://d32dm0rphc51dk.cloudfront.net/xRI_2r5nJUJe6rI90KPBMA/larger.jpg,US$125,"R.W. ""Rudy"" Beerens",Ellen Ten Damme,2021
https://d32dm0rphc51dk.cloudfront.net/NwDp9_hlTvf-c_9iTHGUbA/larger.jpg,US$450,Kathleen Keifer,Soft Blue Beach,2024
https://d32dm0rphc51dk.cloudfront.net/Uip-oTgoLOGM-uIETMHF7g/larger.jpg,"US$3,500",Masakatsu Sashie,BLINKER - ALIAS,2024
https://d32dm0rphc51dk.cloudfront.net/GvVXMZ292P6EhC7oRc_btg/larger.jpg,"US$1,200",Lisa Rock,Two Yellow Flowers,2023
https://d32dm0rphc51dk.cloudfront.net/Sx4eVWsxeCutVwlnbU1OBA/larger.jpg,US$650,Wladymir Bernechea,El lugar y su desaparición,2024
https://d32dm0rphc51dk.cloudfront.net/dH63_Pi7ErjqNjmSlx0uew/larger.jpg,"US$3,500",Masakatsu Sashie,BLINKER 2 – HALL,2024
